threshold,precision,recall,tp,fp,fn,method,kernel_stddev
Inf,1.0,0.0,0,0,43,original_BAME,NaN
0.997976005314147,1.0,0.023255813953488372,1,0,42,original_BAME,NaN
0.9707226971884334,1.0,0.046511627906976744,2,0,41,original_BAME,NaN
0.9691439312518394,1.0,0.06976744186046512,3,0,40,original_BAME,NaN
0.965429952819729,1.0,0.09302325581395349,4,0,39,original_BAME,NaN
0.905648266528881,0.8,0.09302325581395349,4,1,39,original_BAME,NaN
0.8628273580776662,0.8333333333333334,0.11627906976744186,5,1,38,original_BAME,NaN
0.7622571806379231,0.8571428571428571,0.13953488372093023,6,1,37,original_BAME,NaN
0.7333366712483971,0.75,0.13953488372093023,6,2,37,original_BAME,NaN
0.6493624066694724,0.7777777777777778,0.16279069767441862,7,2,36,original_BAME,NaN
0.6348824207592402,0.7,0.16279069767441862,7,3,36,original_BAME,NaN
0.6150663000641504,0.7272727272727273,0.18604651162790697,8,3,35,original_BAME,NaN
0.5641717605265182,0.75,0.20930232558139536,9,3,34,original_BAME,NaN
0.5111170498435037,0.7692307692307693,0.23255813953488372,10,3,33,original_BAME,NaN
0.4872244123440716,0.7142857142857143,0.23255813953488372,10,4,33,original_BAME,NaN
0.4818866581153437,0.7333333333333333,0.2558139534883721,11,4,32,original_BAME,NaN
0.4369704456848069,0.75,0.27906976744186046,12,4,31,original_BAME,NaN
0.43386975699567865,0.7058823529411765,0.27906976744186046,12,5,31,original_BAME,NaN
0.43147430866096687,0.7222222222222222,0.3023255813953488,13,5,30,original_BAME,NaN
0.3445643282988431,0.6842105263157895,0.3023255813953488,13,6,30,original_BAME,NaN
0.3384248198236254,0.7,0.32558139534883723,14,6,29,original_BAME,NaN
0.33147877482220556,0.6666666666666666,0.32558139534883723,14,7,29,original_BAME,NaN
0.32756773689466095,0.6818181818181818,0.3488372093023256,15,7,28,original_BAME,NaN
0.3192133279183057,0.6956521739130435,0.37209302325581395,16,7,27,original_BAME,NaN
0.3107435990117522,0.7083333333333334,0.3953488372093023,17,7,26,original_BAME,NaN
0.3022807465917424,0.72,0.4186046511627907,18,7,25,original_BAME,NaN
0.3020347137365163,0.6923076923076923,0.4186046511627907,18,8,25,original_BAME,NaN
0.29888411309844787,0.7037037037037037,0.4418604651162791,19,8,24,original_BAME,NaN
0.29427568367053913,0.7142857142857143,0.46511627906976744,20,8,23,original_BAME,NaN
0.28302001695097306,0.6896551724137931,0.46511627906976744,20,9,23,original_BAME,NaN
0.2790350435545901,0.7,0.4883720930232558,21,9,22,original_BAME,NaN
0.270615838144961,0.6774193548387096,0.4883720930232558,21,10,22,original_BAME,NaN
0.2683013296648437,0.6875,0.5116279069767442,22,10,21,original_BAME,NaN
0.25018377054339985,0.6666666666666666,0.5116279069767442,22,11,21,original_BAME,NaN
0.24932050676870332,0.6470588235294118,0.5116279069767442,22,12,21,original_BAME,NaN
0.24139484168259534,0.6571428571428571,0.5348837209302325,23,12,20,original_BAME,NaN
0.23124081009865524,0.6388888888888888,0.5348837209302325,23,13,20,original_BAME,NaN
0.22286880792079955,0.6216216216216216,0.5348837209302325,23,14,20,original_BAME,NaN
0.22080763144158158,0.6052631578947368,0.5348837209302325,23,15,20,original_BAME,NaN
0.21744499670279271,0.6153846153846154,0.5581395348837209,24,15,19,original_BAME,NaN
0.2112216206963187,0.6,0.5581395348837209,24,16,19,original_BAME,NaN
0.20779013473058783,0.5853658536585366,0.5581395348837209,24,17,19,original_BAME,NaN
0.20651281604331714,0.5714285714285714,0.5581395348837209,24,18,19,original_BAME,NaN
0.205913992857399,0.5581395348837209,0.5581395348837209,24,19,19,original_BAME,NaN
0.20211631054253498,0.5454545454545454,0.5581395348837209,24,20,19,original_BAME,NaN
0.19920437990609868,0.5333333333333333,0.5581395348837209,24,21,19,original_BAME,NaN
0.1976192099719457,0.5434782608695652,0.5813953488372093,25,21,18,original_BAME,NaN
0.19673786679891964,0.5319148936170213,0.5813953488372093,25,22,18,original_BAME,NaN
0.19616589988546135,0.5416666666666666,0.6046511627906976,26,22,17,original_BAME,NaN
0.19563051172979976,0.5510204081632653,0.627906976744186,27,22,16,original_BAME,NaN
0.19367505756188244,0.54,0.627906976744186,27,23,16,original_BAME,NaN
0.19266360185527087,0.5294117647058824,0.627906976744186,27,24,16,original_BAME,NaN
0.19015639877243973,0.5192307692307693,0.627906976744186,27,25,16,original_BAME,NaN
0.18963537068364894,0.5283018867924528,0.6511627906976745,28,25,15,original_BAME,NaN
0.18863061052995456,0.5185185185185185,0.6511627906976745,28,26,15,original_BAME,NaN
0.1881205830114555,0.509090909090909,0.6511627906976745,28,27,15,original_BAME,NaN
0.18712683713289258,0.5,0.6511627906976745,28,28,15,original_BAME,NaN
0.1868773755499466,0.49122807017543857,0.6511627906976745,28,29,15,original_BAME,NaN
